Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
Lev_Yashin    23 rus 26  1  1  1 12 775 660 660 660  21   0 1985   0  72  23   0   0   0   0   0   0   0   0
Jack_Kelsey   25 wal 23  1  1  1 21 520 300 300 480   3   1  205   0   6   5   0   0   0   0   0   0   0   0
C_Burmann     30 swe  7 27 21 14 10 300 180 514 597  23   0 2152   4   0   0  26  24  20   2   3   0   0   0
M_Schjonberg  24 den  5 26 20 17 13 660 343 396  50  13   0 1234   2   0   0   9  17  20   2   1   0   0   0
T_Surkont     31 fra  6 25 16 18 27 450 393 437 592  23   0 2190   1   0   0  15  22  32   5   0   0   0   0
A_Gekas       26 gre  3 25 18 13 21 370 558 411 234  23   0 2190   0   0   0  23  22  19   3   1   0   0   0
E_Echiejile   32 nig  9 24 17 12 26 316 819 174 998  16   4 1256   3   0   0  21  15  15   1   1   0   0   0
N_Hashberger  25 den  1 20  3  4 48 660 206 590 566   2   2   49   0   0   0   0   0   0   0   0   0   0   0
J_Gobble      22 rus  1 19  5  5 33 300 464 129 889   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Lueddeke    22 bel  2 19  4  8 33  20 172 160 938   1   1   85   0   0   0   0   0   1   1   0   0   0   0
H_Malik       30 egy  5 17 26 18 26 480 233  67 166  22   0 2085   4   0   0  14  35  29   6   6  10   0   0
J_Parlantini  32 USA  5 15 25 15 34 300 991 859 684  16   6 1209   0   0   0   7  14   9   1   0   4   0   0
F_Omam_Biyik  23 cam  1 18 25 18 22 480 163  91 160  22   0 2083   1   0   0  18  35  21   2   4  16   0   0
Zico          21 bra  2 17 24 18 23  21  39 786 727  23   0 2190   1   0   0  11  34  30   2   3   4   0   0
A_Kallstrom   23 swe  1 15 23 16 27 810 790 958  95  14   0 1076   0   0   0   2  13  13   0   2   0   0   0
Y_Dim_Sum     22 jap  1  3 19  6  8 300 933 275 246   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Kernel      25 aus  2 10 19  5 38 201 392 522 866   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Hollus      32 egy  1  7 10 25 11 300 509 645 362  12   6  777   0   0   0   2   3  29   1   0   0   0   0
E_Nwachi_Jr   22 nig  3  6 17 24 10  21 860 569 487  21   0 1874   1   0   0   1  19  47   9   2   0   0   0
J_Molby       21 den  2 17 16 24 10  21 788  13 619  18   0 1428   0   0   0   3  11  26   4   1   2   0   0
