Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
F_Stoeber     28 ger 21  1  1  1 14 670 660 490 570   5   0  475   0  19   9   0   0   0   0   0   0   0   0
S_Stolle      29 sco 18  1  1  1 34 676 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_McGlinchey  22 sco 18  1  1  1 57 314 300 300 300  12   0 1138   0  41  21   0   0   0   0   0   4   0   0
F_Seidler     34 RSA  1 25 16 12 46 300 403 383 234  17   0 1613   0   0   0  19  11  12   0   0   2   0   0
K_Spicer      29 wal  2 24 16 13 19 300 875 982 130  16   0 1474   0   0   0  12  11   9   1   0   0   0   0
D_Glanz       27 ger  9 23 11  8 60 300 833 713 416  16   0 1460   1   0   0  25   5   7   1   0  12   0   0
E_Costi       31 gre  2 21 10  4  6 300 514 605 787   1   0   95   0   0   0   3   2   0   0   0   0   0   0
L_Zerbel      29 arg  4 21 18 16 35 300 878 548 810  17   0 1484   1   0   0  13  10   8   1   1   2   0   0
L_Hottinger   28 nzl  1 20  4  4 21 585 978 400 851   4   2  244   0   0   0   3   0   0   0   0   0   0   0
P_Coffeen     31 nzl  1 20  3  7 12 300 884 327 710   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Archimedes    26 gre  1 20 17 15 40 480  35 621 829  16   5 1058   0   0   0  13   7   4   0   0   4   0   0
A_Ansell      25 geo  6 19  6 16 12 500 538 619 977   1   1   20   0   0   0   0   0   0   0   0   0   0   0
G_Depp        24 egy  1 19  3 14 17 300 991 320 689   6   0  485   0   0   0   5   1   4   0   0   0   0   0
A_Wible       22 arg  1 19  8  9 64 300 205 294  73   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Fey         32 egy  1  3 23  1 18 500 940 700 605  13   2  898   0   0   0   2   8   2   0   2   2   0   0
D_Irizarry    30 usa  1 16 21  8 33 300  32 775 980  17   5 1278   0   0   0   6  14   5   0   0   2   0   0
U_Kenedy      25 nir  1  6 21 15 37 300 175 537 979  15   0 1347   0   0   0   4  16  11   1   0   0   0   0
P_Weichbrodt  25 ger  1 15 21  3 52 300 748 178 892  15   3 1101   0   0   0   9  18   1   0   1   4   1   0
Q_Oki         29 jap  1  3 20 16 42 300 744 779 808  15   0 1414   0   0   0   1  18  10   1   0  12   0   0
H_McLeman     23 nzl  1  4 18  3 18 300 279 818 817   4   3  168   0   0   0   2   2   1   0   0   0   0   0
K_Trepanier   30 ita  3  4  9 26 11 300 772 157  12  17   0 1613   0   0   0   1   3  34   3   0   4   0   0
P_Boccardo    22 bra  1  2  4 19 18 300 649 896 410   9   8  311   0   0   0   0   0   7   0   0   0   0   0
