Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
K_Maisuradze  31 geo 28  1  1  1  6 472 480 660 480   9   0  852   0  47  15   0   0   0   0   0   0   0   0
Z_Vautour     25 bel 23  1  1  1 19 490 450 450 450   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Lecroy      25 fra 18  1  1  1 20 666 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Elizeus     23 bel 17  1  1  1 46 590 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Charisteas  27 gre  9 28 20 11 18 380 424 145 629   9   0  852   0   0   0  12  10   8   0   1   0   0   0
B_Corgan      29 spa  9 27 18 17 14 276 412 750 188   9   0  852   0   0   0  11   5   9   1   0   4   0   0
M_Calliot     30 can  2 26 18  8 12 549 800 577 637   6   0  400   0   0   0   6   3   1   0   1   0   0   0
A_Bonafine    31 ita  3 25 15 11 21 300 203 122  13   2   1  118   0   0   0   4   1   0   0   0   2   0   0
E_Carlo       28 bra  8 25 16 14 10 300 470 378 915   9   5  507   0   0   0   5   5   9   0   0   0   0   0
E_Beregovoi   27 rus  2 23 21 15 10 319 917  86 400   8   0  760   2   0   0  13  14   5   0   0   2   0   0
S_Terpis      30 bel  1  6 30 20 13 690 152 730 561   9   0  826   0   0   0   1  16  15   1   1   2   0   0
W_Belcher     30 ire  2  6 29 19 23 480 851 576 568   9   0  852   0   0   0   0  18   7   1   1   0   0   0
D_Winton      31 ger  6 19 29 17 28 291 195 256 485   8   0  657   0   0   0   5   7   4   1   0   0   0   0
I_Morani      29 ita  6 17 27 16 14 382 110   4 836   5   0  473   0   0   0   3   7   4   0   0   0   0   0
M_Yakes       28 por  4  8 26 15 12 261 111 276 188   3   0  287   0   0   0   1   3   1   0   1   0   0   0
P_Fullic      29 cro  6 11 24 14 30 300 486 440 693   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Zwaanstra   22 zim  2  5 21 15 16  29 367 501 244   9   8  221   0   0   0   0   3   5   1   0   0   0   0
K_Souders     32 CRO  6 16 14 29 22 490 311 672  60   8   3  527   1   0   0   4   1  15   2   1   0   0   0
J_Thurson     31 sco  5 14 18 24 11 300 761   8 752   6   2  330   0   0   0   3   2  15   1   0   0   0   0
A_Mustang     28 por  1 14 10 23 29 474 459 736 829   5   1  291   0   0   0   2   1  12   2   0   0   0   0
G_Minkler     22 hol  8 11 18 23 25 300 260 318 334   9   4  556   0   0   0   1   3  16   1   2   0   0   0
