Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
J_Borman      29 hol 27  1  1  1 33 237 300 300 300  15   0 1344   0  65  19   0   0   0   0   0   0   1   0
S_Bosher      22 bel 21  1  1  1 60 840 300 300 300  11   3  835   0  48  17   0   0   0   0   0   2   0   0
M_Carter      28 wal  9 25 13  5 38 300 494 890 256  18   0 1637   1   0   0  31  15   5   2   0   4   1   0
G_Dianne      31 hol  9 24 11  1 38 550 358 940 616  23   0 2179   0   0   0  40  17   3   0   3   8   0   0
D_Zamora      33 URU  1 22  4 10 30 300 783 938 285  22   0 2083   2   0   0  30   5  19   3   1   0   0   0
I_Voss        23 rsa  3 22  7  3 21 300 436 659 286  21   0 1933   1   0   0  29   9   8   0   0   2   0   0
B_Moore       24 eng  1 21  4  7 10 300 792 553 675  10   2  852   0   0   0  13   2   5   1   1   0   0   0
J_Worgan      25 eng  1 20  3 12 54 300 840 188 110   1   1   56   0   0   0   1   1   1   0   0   0   0   0
E_Mail        29 wal  1 16  4  3 14 300 934 934 172   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Fragoso     25 cam  1  6 26  2 22 300 441  96 367  17   0 1562   1   0   0   5  38   5   1   4  12   0   0
U_Poer        26 jap  1  2 25 16 20 300 469 194 606  23   0 2062   2   0   0   2  46  32   3   6   2   0   0
K_Nixon       32 wal  1  1 24 11 37 300 381 932 703  20   0 1890   0   0   0   0  25  19   0   1  16   0   0
Diablo        27 uru  1 18 24  6 35 798 996 151 872  15   0 1300   0   0   0   8  23   7   0   0  16   0   0
Josa          29 bra  2  4 23 11 13 747 278 634 872  17   1 1475   0   0   0   0  22  22   2   5  10   0   0
W_Worrells    27 aus  1 12 22  4 11 300  56 928 687   8   4  566   1   0   0   5   9   2   1   0   0   0   0
K_DeKrafft    25 hol  1  3 21  2 31 300 631 657 778   1   1   89   0   0   0   0   2   0   0   1   0   0   0
U_Aldorino    30 ita  2 12  8 25 12 889 928 888 381  21   0 1946   1   0   0   5  12  68   9   2   0   0   0
Rooneiro      29 wal  1  5 15 24 34 590 842 628 417  19   0 1689   4   0   0   2  12  80  21   0   4   0   0
D_Zamaras     33 gre  1  1  1 21 14 300 310 596 114   6   1  450   0   0   0   1   0  13   1   0   0   0   0
Matt_Sindelar 25 aut  2  4 11 21 17 118 187 811 707   5   4  230   0   0   0   0   1   3   0   0   0   0   0
U_Harrig      24 jap  1  7  3 18 15 300 370 178  83   0   0    0   0   0   0   0   0   0   0   0   0   0   0
