Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
U_Burdus      26 egy 25  1  1  1 25 764 300 300 300  12   0 1174   1  71  18   0   0   0   0   0   0   0   0
A_Stepney     30 eng 24  1  1  1 29 680 555 925 555   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Anslinger   29 usa 19  1  1  1 17  42 365 365 365   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Verbeck     22 wal 19  1  1  1 33 638 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Bagini      30 bra  4 28 20 15 35 760 952 707 837  12   0 1174   0   0   0  12  18  10   0   2   4   0   0
M_Charisteas  25 gre  9 26 19 11 18 380 588  68 317  12   0 1174   3   0   0  19  13   8   2   2   0   0   0
H_Dillon      28 nir  7 24  9  4 28 300 788 965 749  12   0 1174   0   0   0  14   4   5   1   1   0   0   0
R_Song        30 cam  8 24 13  4 24 300 191 306 464  10   0  972   0   0   0  15   5   3   0   0   0   0   0
M_Ketchum     32 sco  4 23 15  2 26 300 976 987 208  12   0 1174   1   0   0  17   9   3   1   1   0   0   0
G_Gamel       25 por  1 19  5  5 10 480 320 673 702   1   1   94   0   0   0   1   0   1   0   0   0   0   0
R_Gehrand     24 ita  1 19  6  4  9 300 714 164 108   3   1  108   0   0   0   2   1   0   0   0   0   3   0
X_Purr        24 wal  1 17  3  4 12 300 967 469 797   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Chillura    22 wal  1 17  6  5 20 300 215 242 426   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Colladen    33 ger  3 13  1  1 19 300 285 428 627   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Franks      31 aus  2  9 27 10 32 300 447 426 575  12   0 1174   0   0   0   1  21  10   2   4   2   0   0
B_Hansen      28 swe  6 13 25 12 42 300 813 357 534  12   0 1174   0   0   0   3  23   5   0   0   4   0   0
V_Younger     30 usa  1  1 25 11 35 300 589 159 915  12   0 1168   0   0   0   0  13   8   0   0   4   0   0
T_Ninis       33 gre  4  6 20  2 32 320 709 421 634   2   1  102   0   0   0   0   2   0   0   0   0   0   0
S_Cawelti     23 swe  1  5 18  3 36 300 890 817 304   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Devaris     22 wal  1 10 17  2 38 300 181 595 765   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Zeimoto     32 por  2  6 14 26 18 300 206 439 841  12   0 1130   1   0   0   0   5  34   5   1   0   0   0
L_Lorin       24 fra  1  1  7 24 37 300 114 321 228  11   0 1004   0   0   0   0   4  42   5   1   0   1   0
F_Purkhiser   27 gre  1  3  6 19 15 480  51 334 682   2   2  118   0   0   0   0   0   4   1   0   0   0   0
X_Leizert     22 wal  1  3  8 19 13 300 148 877 594   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Fernung     22 wal  1  4  3 17 46 300 141 204 245   0   0    0   0   0   0   0   0   0   0   0   0   0   0
