Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
J_Scalic      28 cro 25  1  1  1 19 204 320 300 300   2   0  189   0  15   1   0   0   0   0   0   0   0   0
Q_Schreder    24 nir 18  1  1  1 69 245 510 490 390   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Bellin      23 arg 17  1  1  1 15 718 410 390 390   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Garay       30 arg  1 24  7  6 10 480 576 324 858   2   0  189   0   0   0   6   1   0   0   0   0   0   0
A_Camochi     22 jap  8 23  9 10 19 300 220 800 800   2   0  189   0   0   0   5   0   0   0   0   0   0   0
J_Briton      24 fra  6 22  8  6 35 300 578 552 472   2   0  189   0   0   0   2   0   0   0   0   0   0   0
E_Zurek       27 cze  1 21  4  4 18 480  68 277 203   2   0  189   0   0   0   3   0   0   0   0   0   0   0
K_Asbrand     28 ger  1 20  4 12 14 515 528 573 251   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Harsh       23 nir  1 19  5  3 11 390 405 467 302   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Thedans     23 aus  1 19  5  3 15 300 880 471 149   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Deveron     22 spa  1 18  2  2 22 390 317 695 967   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Verminski   22 rus  1 18  8  4 48 390 175 861 750   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Skillasson  24 den  1  6 23 10 44 300 980 557 800   2   0  189   1   0   0   3   3   0   0   1   0   0   0
M_Samaras     30 gre  6 10 21  1 14 480 238 481 426   2   0  189   0   0   0   0   6   0   0   0   0   0   0
G_Raffield    25 cze  1  5 21  3 13 300 693 220 961   2   0  163   0   0   0   0   0   0   0   0   0   0   0
W_Galen       26 nir  1  3 21  5 17 300 282  33 251   1   0   96   0   0   0   1   0   0   0   0   0   0   0
Mojo_Risin    24 aus  1  3 21  7 24 300 705 104 161   1   0   93   0   0   0   1   2   0   0   0   0   0   0
Q_Tertzakian  24 nzl  1  9 20  3 21 750 537  51  67   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Mauger      24 den  1  3 19  8 20 355 466 327 187   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Maziero     23 ita  1  5 19  3  8 480  57 384 541   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Zikos       25 gre  1  6 10 22 20 300 479 554  88   2   0  189   0   0   0   3   0   4   0   0   0   0   0
Y_Hetland     30 nir  1  2 11 21 44 300 634 668 583   2   0  114   0   0   0   0   0   3   1   0  10   0   1
A_LaPorta     25 fra  1  2  4 21 45 300 527 745 408   1   1   26   0   0   0   0   0   1   0   0   0   0   0
P_Kiggan      23 hol  1  2  5 19 29 390 780  99 439   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Shepler     22 nir  1  5  4 18 39 390 602 416 567   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Whitener    22 sco  1  5  3 18 14 390 875 247 503   0   0    0   0   0   0   0   0   0   0   0   0   0   0
