Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
U_Kydes       20 gre 20  1  1  1 32 551 450 450 450   1   0   95   0   2   2   0   0   0   0   0   0   0   0
V_Nezbeth     20 cam 18  1  1  1 40 183 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Tanori      19 bra 16  1  1  1 33 318 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Pollan      16 kor 14  1  1  1 44 159 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Stevens     20 eng  1 19  4  4 50 300 495 438 953   1   0   95   0   0   0   2   0   1   0   0   0   0   0
S_Hetet       20 nig  1 19  2  3 43 300 180 661 609   1   0   76   0   0   0   1   0   0   0   0   0   0   0
D_Chisora     20 eng  1 18 14  7  8 300 274 344 182   1   0   95   0   0   0   3   0   0   0   0   0   0   0
R_Kitz        21 rsa  1 17  4  6 15 300 934 261 436   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_LaForge     20 fra  1 17  6  3  8 300  88  83 118   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Selby       19 wal  1 16  7  4 39 300 899 840 713   1   1   19   0   0   0   1   0   0   0   0   0   0   0
C_Posey       19 nig  1 16  6  5 33 300 305 778 899   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Stackpole   17 ger  1 15  5  8 15 300 726 745 736   1   1   35   0   0   0   0   0   1   0   0   0   0   0
O_Coverstone  17 egy  1 15 11 10 19 300 623 270 633   1   0   95   0   0   0   1   0   2   0   0   0   0   0
X_Witherwick  17 den  1 14  4  5 28 300 774 848 628   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Rae         20 sco  1  4 18 12 15 300 174 580 712   1   0   95   0   0   0   0   2   1   0   0   0   0   0
U_Coutanche   19 spa  1  3 18  8 25 300 681 178 111   1   0   95   0   0   0   0   1   1   0   0   0   0   0
J_Wark        20 sco  1  3 17  4 21 300 408 744 364   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Cadot       20 bel  1  3 17  6 25 300 297 156 312   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Canart      19 nig  1  7 16  5 29 300 209 916 290   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Gallmeyer   18 rus  1 11 15  5 28 300 250 612 284   1   0   95   0   0   0   0   0   1   0   0   0   0   0
C_Grieser     17 uru  1  8 15  6  8 300 770 587 754   1   0   95   0   0   0   0   1   0   0   0   0   0   0
R_Mollica     17 mex  1 10 15  6 40 300 532 232 217   1   0   95   0   0   0   1   0   0   0   0   0   0   0
T_Kinsela     20 ire  1  7  3 18  8 300 487 750  38   1   0   11   0   0   0   0   0   0   0   0   0   0   0
Y_Dinesen     20 den  1  2  3 17 38 300 650 151 413   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Korycka     17 cze  1  7  5 15 13 300 504 763 192   1   1   49   0   0   0   0   0   0   0   0   0   0   0
R_Holtzke     17 geo  1  7  5 15 12 300 411 135 291   0   0    0   0   0   0   0   0   0   0   0   0   0   0
