Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
AJ_Camodo     27 cam 28  1  1  1 22  21 300 300 300  11   0 1039   0  47  13   0   0   0   0   0   2   0   0
T_Helms       22 ger 20  1  1  1  9 509 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Figueiredo  26 por  4 24 16 14 31 300 513 420 154  11   0 1039   3   0   0  16  11  20   5   1   2   0   0
P_Litto       27 ita  8 24 16 15 12 300 693 832 545  11   0 1039   0   0   0   9  10   5   1   3   0   0   0
Khamirutzox   27 rus  6 23 12  6 22 300 459 272 717  11   9  425   0   0   0   5   1   0   0   0   0   0   0
K_Prescott    29 usa  5 23 19 15 27 300 390 977 951  11   0 1039   1   0   0  16  15  12   2   1   0   0   0
M_Tensfeldt   25 ger  1 22 16 15 21 300  33 129 272  11   0  797   0   0   0   7   8   8   0   2   4   0   0
G_C_Moore     23 wal  3 21 16 15 30 300 933 734 564   8   0  594   0   0   0   7   7   7   0   0   0   1   0
B_Schweig     25 swe  1 20 11  8 11 300 348 687 615   3   3   16   0   0   0   0   0   0   0   0   0   0   0
M_Boxall      25 nzl  1 19 15  4 23 300 663 547 316   2   2    4   0   0   0   0   0   0   0   0   0   0   0
F_Leboeuf     25 fra  1 19 16  5 10 300 848  55 180   5   5  131   0   0   0   2   3   0   0   0   0   0   0
J_Latal       30 cze  8 16 24 16 28 300 464 737 307  11   0 1039   1   0   0   6  16  12   3   0   0   0   0
C_Yastrzemski 27 cze  1  6 24 16 40 480 198 353 162  11   0 1039   0   0   0   0  18  11   1   2   4   0   0
O_Aguilar     28 mex  1  4 23 18 22 390 381  10 819   7   0  565   0   0   0   1   9   9   0   1   2   3   0
Tarildo       26 bra  1 16 20  4 53 300   7 717 154   8   7  197   0   0   0   0   4   0   0   0   0   0   0
D_Bledsoe     27 usa  1 17 20 15 29 300  74 139 381  11   0  898   0   0   0   3  13  11   2   2   6   0   0
C_Bannell     26 gre  1  3 19 14 65 300 598 572  55   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_de_Vil      22 hol  2 17 19  5 30   3 449 892 346   7   3  391   0   0   0   2   7   1   0   2   0   0   0
Camelino      27 bra  2  6 21 25 47 857 936 696  75  11   0 1039   1   0   0   4   8  35   6   1   4   0   0
P_Deegan      24 ire  1 11  8 21  9 300 946 760  75   1   1    4   0   0   0   0   0   0   0   0   0   0   0
A_Boerkel     22 usa  1  8  9 21 13 750 406 452 202   3   3  133   0   0   0   0   0   2   1   0   0   0   0
