Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
S_Bartram     24 eng 25  2  2  2 14 445 355 247 265  24   0 2265   0 110  48   0   0   0   0   0   0   0   0
I_Kelava      30 cro 24  3  3  3 34 675 531 595 607   3   0  283   0  16   2   0   0   0   0   0   0   0   0
H_Roy         20 can 22  2  2  2 10 736 133 133 133   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Gerald      29 eng  3 26 10 15 16  37 353 637 378  10   3  657   0   0   0  14   4  11   1   0   0   0   0
A_Benjak      30 isr  3 26 18  5 14 127 609 276 204  27   0 2498   1   1   0  32  35  19   3   2   2   0   0
C_Hamond      23 eng  1 25 19  9 27 508 231 209 315  26   0 2399   1   0   0  38  33  17   0   7  10   0   0
F_Perelman    31 lux  3 24 15  8 15 392 590 553  10  16   5 1151   1   0   0  18  13   9   1   0   0   0   0
P_Shirtliff   23 eng  2 23 22 11 20 277 795  35 149  24   0 2143   1   0   0  35  24  27   5   2  14   0   0
P_Gruissem    21 ger  2 23 18  6 12  56 149 877 521  20   0 1725   1   0   0  20  19   8   3   3   0   0   0
D_Babyn       22 can  2 22 19 12 30 177 284 892 914  17   7 1060   0   0   0   9  10  14   0   1   0   0   0
D_Hufnagel    21 ger  2 22 16  4 36 192   3  53 910  17   0 1622   1   0   0  20  24   8   2   5   2   0   0
H_Emmens      24 eng  2 20  7  4 27 538 597 935 344   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Cassenova   28 ita  2 14 26  7 35 982 878 724 867  27   0 2559   0   0   0   5  59  11   2   9   2   0   0
A_Rollings    25 eng  1 12 26  6 23 784 599 441  16  27   0 2417   0   0   0   6  44  11   1   6   0   0   0
J_Holland     28 usa  1  1 25 16 34 319 778 351 557  21   0 1910   0   0   0   0  24  30   4   1  14   0   0
P_Mortimer    23 eng  2  5 23 15 18 589  80 620 961  22   6 1609   1   0   0   3  27  22   6   4   0   0   0
Y_Redbourne   23 can  2 19 22  6 17 607 183 963 368  17   7 1072   0   0   0   9  18   7   2   1   4   0   0
T_Pomfrey     29 sco  1  8 21  7 16 420 432 330 397   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Newton      23 jam  2  8 20 10 16 397 101  22 392   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Seguine     27 cam  2  5 20 27 14 949 590 539 546  27   4 2200   2   0   0   2  19  77  13   1   2   0   0
D_Douglas     21 can  2 10 23 26 11 373 372 871 287  27   0 2426   7   0   0   2  27 105  24   3   4   0   0
D_Orillia     21 can  1  6 18 22 34 797 931 644 663   3   5    6   0   0   0   0   0   1   0   0   0   0   0
Q_Delmore     23 hol  1  5 10 20  8 400 635 751 928   0   0    0   0   0   0   0   0   0   0   0   0   0   0
