Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
A_Linde       20 swe 19  1  2  1 32  45 840  21 840   2   1   98   0   5   1   0   0   0   0   0   0   0   0
P_Jennings    16 nir 18  1  1  1 17 705 570 570 570  17   0 1617   0  35  12   0   0   0   0   0   0   0   0
Arrizabalaga  18 spa 17  1  1  1 24 891 570 570 570   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Palomino    19 ita  1 20 11 13 10 840 416 727  63  18   0 1715   1   0   0   8  16  21   2   1   0   0   0
R_Guerreiro   18 por  1 18 11  9 14 840 771 914 975  17   0 1619   0   0   0   9  16  22   3   2   0   0   0
T_Tiss        21 aus  1 18  8  4 45 796 141   7 115  11   0 1004   0   0   0   4   5   2   0   2  14   0   0
Wim_Suurbier  20 hol  2 18  6  4  8  21 189 445  55   3   0  287   1   0   0   6   0   3   1   0   0   0   0
K_Longair     18 por  1 18 13 13 13 705  79 120 104  17   0 1619   4   0   0  15  16  28   6   2   2   0   0
H_Bellerín    16 spa  1 15  7  8 20 570 923 986 200   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Zico          20 bra  2 16 23 18 23  21 748 732 480  18   0 1715   2   0   0   5  45  37   7   8   2   0   0
Ruben_Pinto   19 por  1 14 20  9 23 840 754 448 123  16   0 1420   0   0   0   6  17  10   3   4   2   0   0
H_Bodmer      19 cze  1 10 20 12 33 875 478 453 625  17   0 1543   1   0   0   4  27  18   3   5  14   0   0
A_Hjulsager   18 den  1  4 19  7  9 840 914 888 441   7   4  476   1   0   0   0  12   3   1   2   0   0   0
Stephane_Mbia 20 cam  1  4 19  8 34 840 332 132 996   2   1  165   0   0   0   0   2   0   0   0  10   0   0
Didier_Six    18 fra  1 16 18  7 24 570 485 843 759  12   1  973   0   0   0   4  16   4   1   2   0   0   0
E_Porath      17 egy  1  7 17  7 16 705 753 570 806   6   0  517   0   0   0   2   7   4   1   0   0   0   0
L_Romero      18 arg  1 11 17  5 11 840 842 235 208   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Nwachi_Jr   21 nig  3  6 17 24 10  21 843 254  28  17   0 1423   3   0   0   4   8  43   9   0   0   0   0
J_Molby       20 den  2 17 14 23 10  21 651 783 825  18   0 1570   2   0   0   3  11  52   6   3   0   0   0
K_Larsen      20 den  1  4  4 18 50 840 602 710  20   1   1   42   0   0   0   0   0   0   0   0   0   0   0
X_Castillejo  17 spa  1  7 13 16 10 570 270  19 599   8   7  395   0   0   0   2   4  19   1   0   0   0   0
S_Deulofeu    16 spa  1  3  8 15 24 570  49 974 480   0   0    0   0   0   0   0   0   0   0   0   0   0   0
