Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
D_Da_Silva    28 uru 28  2  2  2 33 384 589 589 589   9   0  847   0  54  21   0   0   0   0   0   0   0   0
J_Vestergaard 29 den 25  1  1  1 34 344 544 644 344   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Chegwidden  23 nzl 17  1  1  1 13 296 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Franz_Bauer   30 ger  2 26 21  7 22 817 424 297 824   9   0  847   1   0   0  14  15   9   1   2   0   0   0
D_Bradman     30 aus  2 26 19  7 26 627 122 771 622   9   0  847   0   0   0  12  13   6   0   1   0   0   0
D_da_Guia     29 bra  2 25 19 14 40 877 412 471 611   9   0  847   0   0   0  18  12  15   1   2   0   0   0
C_Davies      27 wal  2 24 20 17 17 273 258 799 575   9   0  801   1   0   0   7  17  18   1   4   0   0   0
E_Beregovoi   26 rus  2 23 20 15 10 319 495 859 355   7   7  382   0   0   0   4   5   8   2   0   0   0   0
I_Jansheski   24 eng  2 22 19  4 15  93 371 515 380   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Dede          26 bra  2 22 18  7 16  51 226 825 584   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Maugridge   27 can  2 19  5 12 25 717 789 598 167   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Djorkaeff   29 fra  2  2 26 19  5 848 991 477 363   9   0  847   1   0   0   0  26  18   1   1   0   0   0
C_Ruddy       29 eng  2  7 24 21 18 542 188 747 104   8   0  720   1   0   0   3  21  21   3   2  12   0   0
Zibi_Boniek   27 pol  2 12 24 15 26 623 104 301 833   9   0  511   0   0   0   2  10   4   0   0   0   0   0
T_Regen       26 ire  2 22 24  6 25 643  95 260 633   9   0  847   0   0   0   6  19   6   0   2   0   0   0
E_Francescoli 27 uru  2  7 23 20 32 661 118 746 193   1   0   93   0   0   0   0   3   4   0   0   0   0   0
A_Guardado    24 mex  2 11 22 18 18 309 207 697 497   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Fujisaki    27 jap  2  4 16 27 24 157 657 187 261   9   0  847   0   0   0   0   8  35   6   0   0   0   0
Bebeto        28 bra  1  8 10 25 22 444 559 697 827   9   0  847   0   0   0   1   5  35   5   1   0   0   0
T_McClaren    31 SCO  2  5 10 21 24 770 350 799 801   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Marcos_Junior 23 bra  2 11  7 20 41  21 981 518 219   0   0    0   0   0   0   0   0   0   0   0   0   0   0
