Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
B_Wall        30 usa 29  2  2  2 43 375  15  15  15   4   0  375   0  29   4   0   0   0   0   0   0   0   0
N_De_Goon     23 hol 23  1  1  1 33 929 809 809 809   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Rajah         21 jap 20  1  1  1 21 874 802 802 802   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Shiva         30 usa  1 28 15  8  0 760 987 435  61   3   0  232   0   0   0   4   0   2   0   0   0   3   0
Tigger        31 usa  1 26 15  3  9 809  78 337 660   4   0  375   0   0   0   6   3   1   0   1   0   0   0
T_Vixen       29 wal  2 25 15  3 28 161 784 422 605   4   0  375   0   0   0   5   3   1   0   0   0   0   0
Hobbes        27 swe  1 25 18  2 36 865 350 276 882   4   0  375   0   0   0   5   0   0   0   0   0   0   0
L_Countach    31 usa  2 24 16  9 25 928 665 520 993   2   1  143   0   0   0   4   4   1   0   0   0   0   0
B_Hurrican    24 usa  1 22 15  6 58 917 500 911  40   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Luigi         25 ita  2 22 21 15 28 503 403 337 992   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Ilg         27 usa  2 21 12  5 52 631 351 318 644   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Kuyt        21 hol  1 21 18  6 20 952 710 962 676   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Buls        20 hol  1 20 11  6 28 859  24 237 762   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Swaddly     20 hol  1 19  3  6 19 571  87 384  71   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Panthera      29 ind  1  6 27 14 28 662 735  68 796   4   0  375   1   0   0   1   6   8   3   1   0   0   0
N_Chater      30 saf  2  8 26 17  7 897 222 779 977   4   0  375   1   0   0   3   7   8   2   0   0   0   0
H_Furball     25 ind  1 14 25 16 31 557 120 559 378   4   0  375   0   0   0   2  12   3   0   3   3   0   0
D_Deleuw      27 isr  2  6 24 14 24 170 968 924 747   4   0  375   0   0   0   2  10   2   0   1   0   0   0
Flisty        24 bra  2 20 22  9 21 170  59 899 950   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Hartong     29 nig  2  4 20 13 36 431 247 760 193   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Tony          20 eng  1 16 20  7 18 823 125 481  10   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Onozawa     20 jap  1 13 20  5 13 823 284  25  11   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Cutter      20 hun  1 14 19 12 14 571 806  10 881   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Buskala     20 hun  1 12 18  2 13 697 760 554 968   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Jacob         20 usa  1  6 18 14 11 697 548 253 888   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Wallert     30 aus  2  7 11 28  4 495 779 155 541   4   0  375   0   0   0   1   1  23   3   0   0   0   0
J_Hoilett     28 can  2 11 21 25 17 164 599 853 862   4   0  375   1   0   0   3   7  11   2   0   0   0   0
K_Kirby       31 eng  2  5  9 22 24 666 643 378 578   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Shere_Kahn    26 swe  1  9  9 22 22 847 163 163 914   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Feirn       27 ger  2  5 13 22 70 602 645 167  62   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Kitty         20 usa  1  7 10 19  9 823 760  35 950   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Diego         20 spa  1  9  4 19 28 697 690 257 149   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Iacampo     20 mex  1  6  9 17 41 823 410 698 927   0   0    0   0   0   0   0   0   0   0   0   0   0   0
